date,NO2
2024-04-07,5.8885e-06
2024-04-08,7.0808537e-06
2024-04-09,8.2732095e-06
2024-04-10,9.465564e-06
2024-04-11,1.0657919e-05
2024-04-12,1.1850273e-05
2024-04-13,2.328081e-05
2024-04-14,1.8638013e-05
2024-04-15,1.3910428e-05
2024-04-16,1.5036297e-05
2024-04-17,1.7144985e-05
2024-04-18,1.9253672e-05
2024-04-19,2.2525961e-05
2024-04-20,1.9859313e-05
2024-04-21,2.0377902e-05
2024-04-22,2.0896492e-05
2024-04-23,2.1415084e-05
2024-04-24,2.1933673e-05
2024-04-25,2.2452263e-05
2024-04-26,2.2970853e-05
2024-04-27,2.5958474e-05
2024-04-28,3.464132e-05
2024-04-29,3.3937205e-05
2024-04-30,3.49026e-05
2024-05-01,3.5867997e-05
2024-05-02,3.6833386e-05
2024-05-03,3.3318665e-05
2024-05-04,1.5079208e-05
2024-05-05,2.9123592e-05
2024-05-06,1.3943011e-05
2024-05-07,2.067989e-05
2024-05-08,1.9968407e-05
2024-05-09,1.925692e-05
2024-05-10,1.8545436e-05
2024-05-11,2.5731342e-05
2024-05-12,2.578629e-05
2024-05-13,2.8800743e-05
2024-05-14,2.6892938e-05
2024-05-15,2.7228027e-05
2024-05-16,2.644372e-05
2024-05-17,2.4940944e-05
2024-05-18,2.3438166e-05
2024-05-19,4.0007024e-05
2024-05-20,3.0901578e-05
2024-05-21,2.6118878e-05
2024-05-22,3.320524e-05
2024-05-23,3.4339733e-05
2024-05-24,3.5474226e-05
2024-05-25,3.660872e-05
2024-05-26,2.999682e-05
2024-05-27,2.1081396e-05
2024-05-28,2.3966582e-05
2024-05-29,2.6851769e-05
2024-05-30,2.979162e-05
2024-05-31,2.9546096e-05
2024-06-01,3.1100808e-05
2024-06-02,2.9896402e-05
2024-06-03,2.8691991e-05
2024-06-04,3.5374742e-05
2024-06-05,2.2177188e-05
2024-06-06,2.815166e-05
2024-06-07,2.5079833e-05
2024-06-08,3.364775e-05
2024-06-09,4.0139836e-05
2024-06-10,4.6631918e-05
2024-06-11,5.3124004e-05
2024-06-12,2.898946e-05
2024-06-13,3.216785e-05
2024-06-14,3.2779335e-05
2024-06-15,2.9043153e-05
2024-06-16,1.6274296e-05
2024-06-17,2.5090967e-05
2024-06-18,3.390764e-05
2024-06-19,3.1082032e-05
2024-06-20,4.8163827e-05
2024-06-21,2.9781879e-05
2024-06-22,3.2408792e-05
2024-06-23,3.2881737e-05
2024-06-24,3.3354678e-05
2024-06-25,3.3827608e-05
2024-06-26,3.4300552e-05
2024-06-27,2.990355e-05
2024-06-28,2.5506546e-05
2024-06-29,1.84033e-05
2024-06-30,1.9252979e-05
2024-07-01,2.0102661e-05
2024-07-02,2.095234e-05
2024-07-03,2.1802023e-05
2024-07-04,2.2651706e-05
2024-07-05,2.3501385e-05
2024-07-06,1.7524102e-05
2024-07-07,2.2084776e-05
2024-07-08,1.9471534e-05
2024-07-09,3.3792705e-05
2024-07-10,3.3942706e-05
2024-07-11,3.4546825e-05
2024-07-12,2.924803e-05
2024-07-13,2.852044e-05
2024-07-14,2.3173676e-05
2024-07-15,3.694995e-05
2024-07-16,3.055774e-05
2024-07-17,3.233101e-05
2024-07-18,2.8677525e-05
2024-07-19,3.3840755e-05
2024-07-20,2.9279252e-05
2024-07-21,2.5842077e-05
2024-07-22,3.4290766e-05
2024-07-23,2.607017e-05
2024-07-24,2.1392376e-05
2024-07-25,3.6726502e-05
2024-07-26,2.289667e-05
2024-07-27,2.4228442e-05
2024-07-28,1.805502e-05
2024-07-29,2.2865754e-05
2024-07-30,2.4239094e-05
2024-07-31,2.5820407e-05
2024-08-01,2.767663e-05
2024-08-02,2.9532854e-05
2024-08-03,2.9262816e-05
2024-08-04,2.544451e-05
2024-08-05,3.643381e-05
2024-08-06,2.9109618e-05
2024-08-07,3.328423e-05
2024-08-08,3.1560427e-05
2024-08-09,2.6931752e-05
2024-08-10,2.4903302e-05
2024-08-11,2.466219e-05
2024-08-12,2.9938527e-05
2024-08-13,3.5214864e-05
2024-08-14,2.2333474e-05
2024-08-15,3.8155875e-05
2024-08-16,3.0125891e-05
2024-08-17,3.5972524e-05
2024-08-18,2.5359457e-05
2024-08-19,4.686972e-05
2024-08-20,4.918228e-05
2024-08-21,3.638284e-05
2024-08-22,2.9323019e-05
2024-08-23,2.6082142e-05
2024-08-24,2.2841263e-05
2024-08-25,3.0385589e-05
2024-08-26,2.0905847e-05
2024-08-27,2.9799054e-05
2024-08-28,2.8674449e-05
2024-08-29,3.5633126e-05
2024-08-30,3.029811e-05
2024-08-31,5.1346102e-05
2024-09-01,2.0243104e-05
2024-09-02,2.4857787e-05
2024-09-03,4.4054108e-05
2024-09-04,3.5855403e-05
2024-09-05,4.8783542e-05
2024-09-06,4.329954e-05
2024-09-07,4.1285173e-05
2024-09-08,3.6478217e-05
2024-09-09,3.167127e-05
2024-09-10,3.752214e-05
2024-09-11,4.3373013e-05
2024-09-12,4.191598e-05
2024-09-13,3.647913e-05
2024-09-14,4.584042e-05
2024-09-15,4.0613777e-05
2024-09-16,4.4355034e-05
2024-09-17,3.2845637e-05
2024-09-18,4.014391e-05
2024-09-19,4.791525e-05
2024-09-20,4.9115464e-05
2024-09-21,4.1751675e-05
2024-09-22,4.150944e-05
2024-09-23,4.1267216e-05
2024-09-24,4.102499e-05
2024-09-25,4.0782757e-05
2024-09-26,4.1250543e-05
2024-09-27,4.171833e-05
2024-09-28,4.756643e-05
2024-09-29,4.6025973e-05
2024-09-30,4.936428e-05
2024-10-01,4.6860154e-05
2024-10-02,5.2064406e-05
2024-10-03,4.7184356e-05
2024-10-04,4.5635836e-05
2024-10-05,4.4087312e-05
